_id,EKITALDIA/EJERCICIO,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
119,2025,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,Bakarra,Laborable,248,63,15624,31,7688,32,7936
120,2025,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,Bakarra,Sabado,50,63,3150,31,1550,32,1600
121,2025,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,Gabonak (24-31),Laborable,2,53,106,27,54,26,52
122,2025,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,Gabonak (25 -1),Festivo,2,21,42,10,20,11,22
123,2025,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),Bakarra,Laborable,248,69,17112,34,8432,35,8680
124,2025,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),Bakarra,Sabado,50,69,3450,34,1700,35,1750
125,2025,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),Gabonak (24-31),Laborable,2,59,118,29,58,30,60
126,2025,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),Bakarra,Laborable,248,64,15872,31,7688,33,8184
127,2025,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),Bakarra,Sabado,50,64,3200,31,1550,33,1650
128,2025,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),Gabonak (24-31),Laborable,2,55,110,27,54,28,56
129,2025,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),Bakarra,Festivo,63,17,1071,9,567,8,504
130,2025,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),Bakarra,Laborable,248,35,8680,18,4464,17,4216
131,2025,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),Bakarra,Sabado,50,35,1750,18,900,17,850
132,2025,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),Gabonak (24-31),Laborable,2,29,58,15,30,14,28
133,2025,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),Gabonak (25 -1),Festivo,2,9,18,4,8,5,10
134,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Negua,Festivo,57,16,912,8,456,8,456
135,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Negua,Laborable,228,33,7524,17,3876,16,3648
136,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Negua,Sabado,45,16,720,8,360,8,360
137,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Uda,Festivo,6,16,96,8,48,8,48
138,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Uda,Laborable,20,32,640,16,320,16,320
139,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Uda,Sabado,5,16,80,8,40,8,40
140,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Gabonak (24-31),Laborable,2,29,58,16,32,13,26
141,2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,Gabonak (25 -1),Festivo,2,10,20,5,10,5,10
142,2025,A3225,BILBAO - LAUKIZ - MUNGIA,Negua,Festivo,25,8,200,4,100,4,100
143,2025,A3225,BILBAO - LAUKIZ - MUNGIA,Negua,Laborable,75,22,1650,11,825,11,825
144,2025,A3225,BILBAO - LAUKIZ - MUNGIA,Negua,Sabado,18,14,252,7,126,7,126
145,2025,A3225,BILBAO - LAUKIZ - MUNGIA,EHU Eskola-egunak,Festivo,38,8,304,4,152,4,152
146,2025,A3225,BILBAO - LAUKIZ - MUNGIA,EHU Eskola-egunak,Laborable,173,22,3806,11,1903,11,1903
147,2025,A3225,BILBAO - LAUKIZ - MUNGIA,EHU Eskola-egunak,Sabado,32,14,448,7,224,7,224
148,2025,A3225,BILBAO - LAUKIZ - MUNGIA,Gabonak (24-31),Laborable,2,20,40,10,20,10,20
149,2025,A3225,BILBAO - LAUKIZ - MUNGIA,Gabonak (25 -1),Festivo,2,8,16,4,8,4,8
150,2025,A3247,BILBAO - Aireportua/Aeropuerto,Negua,Festivo,26,107,2782,52,1352,55,1430
151,2025,A3247,BILBAO - Aireportua/Aeropuerto,Negua,Laborable,101,107,10807,52,5252,55,5555
152,2025,A3247,BILBAO - Aireportua/Aeropuerto,Negua,Sabado,20,107,2140,52,1040,55,1100
153,2025,A3247,BILBAO - Aireportua/Aeropuerto,Uda,Festivo,37,141,5217,69,2553,72,2664
154,2025,A3247,BILBAO - Aireportua/Aeropuerto,Uda,Laborable,147,141,20727,69,10143,72,10584
155,2025,A3247,BILBAO - Aireportua/Aeropuerto,Uda,Sabado,30,141,4230,69,2070,72,2160
156,2025,A3247,BILBAO - Aireportua/Aeropuerto,Gabonak (25 -1),Festivo,2,78,156,36,72,42,84
157,2025,A3247,BILBAO - Aireportua/Aeropuerto,Gabonak 24,Laborable,1,89,89,46,46,43,43
158,2025,A3247,BILBAO - Aireportua/Aeropuerto,Gabonak 31,Laborable,1,94,94,48,48,46,46
159,2025,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),Negua,Lunes a Jueves,185,34,6290,18,3330,16,2960
160,2025,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),Negua,Viernes,45,30,1350,18,810,12,540
161,2025,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),Uda,Laborable,20,16,320,8,160,8,160
162,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Negua,Festivo,46,30,1380,15,690,15,690
163,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Negua,Laborable,186,34,6324,17,3162,17,3162
164,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Negua,Sabado,37,30,1110,15,555,15,555
165,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Uda,Festivo,15,55,825,27,405,28,420
166,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Uda,Laborable,57,59,3363,29,1653,30,1710
167,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Uda,Sabado,12,55,660,27,324,28,336
168,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Uda (Aurre - Gero),Festivo,2,55,110,27,54,28,56
169,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Uda (Aurre - Gero),Laborable,5,34,170,17,85,17,85
170,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Uda (Aurre - Gero),Sabado,1,55,55,27,27,28,28
171,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Gabonak (24-31),Laborable,2,30,60,15,30,15,30
172,2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,Gabonak (25 -1),Festivo,2,18,36,9,18,9,18
173,2025,A3323,PORTUGALETE - GALDAMES,Bakarra,Festivo,63,10,630,5,315,5,315
174,2025,A3323,PORTUGALETE - GALDAMES,Bakarra,Laborable,248,18,4464,9,2232,9,2232
175,2025,A3323,PORTUGALETE - GALDAMES,Bakarra,Sabado,50,18,900,9,450,9,450
176,2025,A3323,PORTUGALETE - GALDAMES,Gabonak (24-31),Laborable,2,15,30,8,16,7,14
177,2025,A3323,PORTUGALETE - GALDAMES,Gabonak (25 -1),Festivo,2,4,8,2,4,2,4
178,2025,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,Bakarra,Festivo,63,27,1701,14,882,13,819
179,2025,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,Bakarra,Laborable,248,31,7688,16,3968,15,3720
180,2025,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,Bakarra,Sabado,50,27,1350,14,700,13,650
181,2025,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,Gabonak (24-31),Laborable,2,27,54,14,28,13,26
182,2025,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,Gabonak (25 -1),Festivo,2,18,36,9,18,9,18
183,2025,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,Bakarra,Festivo,63,30,1890,15,945,15,945
184,2025,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,Bakarra,Laborable,248,127,31496,63,15624,64,15872
185,2025,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,Bakarra,Sabado,50,127,6350,63,3150,64,3200
186,2025,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,Gabonak (24-31),Laborable,2,107,214,54,108,53,106
187,2025,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,Gabonak (25 -1),Festivo,2,20,40,10,20,10,20
188,2025,A3333,Gallarta - SANTURTZI,Bakarra,Festivo,63,55,3465,27,1701,28,1764
189,2025,A3333,Gallarta - SANTURTZI,Bakarra,Laborable,248,123,30504,62,15376,61,15128
190,2025,A3333,Gallarta - SANTURTZI,Bakarra,Sabado,50,64,3200,32,1600,32,1600
191,2025,A3333,Gallarta - SANTURTZI,Gabonak (24-31),Laborable,2,111,222,56,112,55,110
192,2025,A3333,Gallarta - SANTURTZI,Gabonak (25 -1),Festivo,2,36,72,19,38,17,34
193,2025,A3334,SANTURTZI - BALMASEDA,Negua,Festivo,51,10,510,5,255,5,255
194,2025,A3334,SANTURTZI - BALMASEDA,Negua,Laborable,207,16,3312,8,1656,8,1656
195,2025,A3334,SANTURTZI - BALMASEDA,Negua,Sabado,41,14,574,7,287,7,287
196,2025,A3334,SANTURTZI - BALMASEDA,Negua Instituturik gabe,Festivo,12,10,120,5,60,5,60
197,2025,A3334,SANTURTZI - BALMASEDA,Negua Instituturik gabe,Laborable,41,16,656,8,328,8,328
198,2025,A3334,SANTURTZI - BALMASEDA,Negua Instituturik gabe,Sabado,9,14,126,7,63,7,63
199,2025,A3334,SANTURTZI - BALMASEDA,Gabonak (24-31),Laborable,2,14,28,7,14,7,14
200,2025,A3334,SANTURTZI - BALMASEDA,Gabonak (25 -1),Festivo,2,6,12,3,6,3,6
201,2025,A3335,MUSKIZ - ZIERBENA - SESTAO,Negua,Festivo,46,32,1472,16,736,16,736
202,2025,A3335,MUSKIZ - ZIERBENA - SESTAO,Negua,Laborable,186,34,6324,17,3162,17,3162
203,2025,A3335,MUSKIZ - ZIERBENA - SESTAO,Negua,Sabado,37,32,1184,16,592,16,592
204,2025,A3335,MUSKIZ - ZIERBENA - SESTAO,Uda,Festivo,12,54,648,27,324,27,324
